Country,Gender,Year,Number,,,,,,,,,,,,
England,Male,2017,"114,367",,,,,,,,,,,,
England,Female,2017,"98,672",,,,,,,,,,,,
Scotland,Male,2017,"10,767",,,,,,,,,,,,
Scotland,Female,2017,"11,212",,,,,,,,,,,,
Wales,Male,2017,"6,096",,,,,,,,,,,,
Wales,Female,2017,"4,815",,,,,,,,,,,,
Northern Ireland,Male,2017,"3,412",,,,,,,,,,,,
Northern Ireland,Female,2017,"3,371",,,,,,,,,,,,
England,Male,2016,"112,324",,,,,,,,,,,,
England,Female,2016,"95,162",,,,,,,,,,,,
Scotland,Male,2016,"10,591",,,,,,,,,,,,
Scotland,Female,2016,"10,885",,,,,,,,,,,,
Wales,Male,2016,"6,005",,,,,,,,,,,,
Wales,Female,2016,"4,642",,,,,,,,,,,,
Northern Ireland,Male,2016,"3,305",,,,,,,,,,,,
Northern Ireland,Female,2016,"3,261",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
